#dataset: GeoCSV 2.0
#delimiter: |
#field_unit: unitless|unitless|unitless|unitless|unitless|hertz|ISO_8601|ISO_8601
#field_type: string|string|string|string|string|float|datetime|datetime
Network|Station|Location|Channel|Quality|SampleRate|Earliest|Latest
IU|COLA|00|BHZ|M|40.0|2022-11-18T15:02:53.594538Z|2023-07-10T18:02:26.569538Z
IU|COLA|00|BHZ|M|40.0|2023-07-10T18:26:42.594538Z|2023-07-10T18:38:16.569538Z
IU|COLA|00|BHZ|M|40.0|2023-07-10T18:38:19.594539Z|2023-12-10T18:22:53.119538Z
IU|COLA|00|BHZ|M|40.0|2023-12-10T18:49:02.919538Z|2023-12-20T18:39:34.869538Z
IU|COLA|00|BHZ|M|40.0|2023-12-20T18:48:14.319539Z|2024-07-01T00:00:00.000000Z
IU|COLA|00|LH1|M|1.0|2020-01-01T00:00:00.000000Z|2020-01-09T13:52:02.069536Z
IU|COLA|00|LH1|M|1.0|2020-01-09T13:54:55.069538Z|2020-03-10T23:11:47.069538Z
IU|COLA|00|LH1|M|1.0|2020-03-10T23:13:28.069538Z|2020-03-11T13:13:56.069538Z
IU|COLA|00|LH1|M|1.0|2020-03-11T13:15:20.069538Z|2020-03-24T23:36:46.069538Z
IU|COLA|00|LH1|M|1.0|2020-03-25T00:00:00.069539Z|2020-05-13T18:16:19.069538Z
IU|COLA|00|LH1|M|1.0|2020-05-13T18:43:22.069538Z|2020-06-22T15:05:12.069539Z
IU|COLA|00|LH1|M|1.0|2020-06-22T15:05:51.069550Z|2021-01-13T12:35:46.069539Z
IU|COLA|00|LH1|M|1.0|2021-01-13T23:38:41.069538Z|2021-07-09T02:54:39.069538Z
IU|COLA|00|LH1|M|1.0|2021-07-09T02:55:51.069538Z|2022-01-09T06:42:24.069538Z
IU|COLA|00|LH1|M|1.0|2022-01-09T06:46:17.069538Z|2022-03-10T23:40:11.069538Z
IU|COLA|00|LH1|M|1.0|2022-03-10T23:44:28.069538Z|2022-11-18T05:57:29.069538Z
IU|COLA|00|LH1|M|1.0|2022-11-18T15:02:39.069538Z|2023-07-10T18:02:11.069538Z
IU|COLA|00|LH1|M|1.0|2023-07-10T18:26:28.069538Z|2023-07-10T18:38:01.069538Z
IU|COLA|00|LH1|M|1.0|2023-07-10T18:38:05.069548Z|2023-12-10T18:22:30.069538Z
IU|COLA|00|LH1|M|1.0|2023-12-10T18:46:48.069538Z|2023-12-20T18:38:28.069538Z
IU|COLA|00|LH1|M|1.0|2023-12-20T18:46:29.069539Z|2024-07-01T00:00:00.000000Z
IU|COLA|00|LH2|M|1.0|2020-01-01T00:00:00.000000Z|2020-01-09T13:54:30.069536Z
IU|COLA|00|LH2|M|1.0|2020-01-09T13:54:55.069538Z|2020-03-10T23:12:46.069538Z
IU|COLA|00|LH2|M|1.0|2020-03-10T23:13:28.069538Z|2020-03-11T13:14:27.069538Z
IU|COLA|00|LH2|M|1.0|2020-03-11T13:15:20.069538Z|2020-03-24T23:37:23.069536Z
IU|COLA|00|LH2|M|1.0|2020-03-25T00:00:00.069538Z|2020-05-13T18:17:23.069538Z
IU|COLA|00|LH2|M|1.0|2020-05-13T18:44:35.069539Z|2020-06-22T15:05:12.069538Z
IU|COLA|00|LH2|M|1.0|2020-06-22T15:05:51.069550Z|2021-01-13T12:34:30.069539Z
IU|COLA|00|LH2|M|1.0|2021-01-13T23:38:41.069538Z|2021-07-09T02:51:25.069538Z
IU|COLA|00|LH2|M|1.0|2021-07-09T02:55:51.069538Z|2022-03-10T23:39:50.069538Z
IU|COLA|00|LH2|M|1.0|2022-03-10T23:44:07.069539Z|2022-11-18T05:56:22.069538Z
IU|COLA|00|LH2|M|1.0|2022-11-18T15:02:39.069538Z|2023-07-10T18:02:11.069538Z
IU|COLA|00|LH2|M|1.0|2023-07-10T18:26:28.069538Z|2023-07-10T18:38:01.069538Z
IU|COLA|00|LH2|M|1.0|2023-07-10T18:38:05.069548Z|2023-12-10T18:19:21.069538Z
IU|COLA|00|LH2|M|1.0|2023-12-10T18:46:45.069538Z|2023-12-20T18:39:12.069536Z
IU|COLA|00|LH2|M|1.0|2023-12-20T18:47:20.069538Z|2024-07-01T00:00:00.000000Z
IU|COLA|00|LHZ|M|1.0|2020-01-01T00:00:00.000000Z|2020-01-09T13:54:23.069536Z
IU|COLA|00|LHZ|M|1.0|2020-01-09T13:54:55.069538Z|2020-03-10T23:11:12.069538Z
IU|COLA|00|LHZ|M|1.0|2020-03-10T23:13:28.069538Z|2020-03-11T13:12:03.069538Z
IU|COLA|00|LHZ|M|1.0|2020-03-11T13:15:20.069538Z|2020-03-24T23:38:58.069536Z
IU|COLA|00|LHZ|M|1.0|2020-03-25T00:00:00.069538Z|2020-05-13T18:18:59.069538Z
IU|COLA|00|LHZ|M|1.0|2020-05-13T18:45:18.069538Z|2020-06-22T15:05:12.069538Z
IU|COLA|00|LHZ|M|1.0|2020-06-22T15:05:51.069550Z|2021-01-13T12:33:29.069539Z
IU|COLA|00|LHZ|M|1.0|2021-01-13T23:38:41.069538Z|2021-07-09T02:55:28.069538Z
IU|COLA|00|LHZ|M|1.0|2021-07-09T02:55:51.069538Z|2022-01-09T06:42:37.069538Z
IU|COLA|00|LHZ|M|1.0|2022-01-09T06:46:22.069538Z|2022-03-10T23:41:07.069538Z
IU|COLA|00|LHZ|M|1.0|2022-03-10T23:45:14.069538Z|2022-11-18T05:57:05.069538Z
IU|COLA|00|LHZ|M|1.0|2022-11-18T15:02:39.069538Z|2023-07-10T18:02:11.069538Z
IU|COLA|00|LHZ|M|1.0|2023-07-10T18:26:28.069538Z|2023-07-10T18:38:01.069538Z
IU|COLA|00|LHZ|M|1.0|2023-07-10T18:38:05.069548Z|2023-12-10T18:19:03.069538Z
IU|COLA|00|LHZ|M|1.0|2023-12-10T18:46:59.069538Z|2023-12-20T18:38:57.069536Z
IU|COLA|00|LHZ|M|1.0|2023-12-20T18:47:01.069539Z|2024-07-01T00:00:00.000000Z
IU|COLA|10|BH1|M|40.0|2020-01-01T00:00:00.000000Z|2020-01-09T13:54:53.869536Z
IU|COLA|10|BH1|M|40.0|2020-01-09T13:55:00.594538Z|2020-02-22T05:10:21.669538Z
IU|COLA|10|BH1|M|40.0|2020-02-22T05:10:30.594538Z|2020-03-10T19:10:55.569539Z
IU|COLA|10|BH1|M|40.0|2020-03-10T19:11:03.669538Z|2020-03-10T23:13:38.544538Z
IU|COLA|10|BH1|M|40.0|2020-03-10T23:14:01.894538Z|2020-03-24T18:03:48.019536Z
IU|COLA|10|BH1|M|40.0|2020-03-24T18:04:12.469536Z|2020-03-24T23:41:17.869539Z
IU|COLA|10|BH1|M|40.0|2020-03-25T00:00:00.019539Z|2020-05-13T18:19:43.669539Z
IU|COLA|10|BH1|M|40.0|2020-05-13T18:47:13.819541Z|2020-06-22T15:15:58.569539Z
IU|COLA|10|BH1|M|40.0|2020-06-22T15:16:31.594539Z|2020-08-28T21:55:04.569538Z
IU|COLA|10|BH1|M|40.0|2020-08-28T21:56:33.594538Z|2020-12-08T19:10:32.769538Z
IU|COLA|10|BH1|M|40.0|2020-12-08T19:10:39.094538Z|2021-01-13T12:37:12.569538Z
IU|COLA|10|BH1|M|40.0|2021-01-13T23:38:55.594539Z|2021-06-09T19:51:55.669539Z
IU|COLA|10|BH1|M|40.0|2021-06-09T19:52:06.319539Z|2021-07-09T02:55:59.944539Z
IU|COLA|10|BH1|M|40.0|2021-07-09T02:56:05.594538Z|2022-01-09T06:46:23.194538Z
IU|COLA|10|BH1|M|40.0|2022-01-09T06:47:55.469538Z|2022-03-10T23:44:12.219538Z
IU|COLA|10|BH1|M|40.0|2022-03-10T23:45:45.194538Z|2022-05-05T23:33:35.569536Z
IU|COLA|10|BH1|M|40.0|2022-05-05T23:33:36.594538Z|2022-09-08T06:46:32.369538Z
IU|COLA|10|BH1|M|40.0|2022-09-08T06:47:32.669539Z|2022-11-18T05:59:50.244538Z
IU|COLA|10|BH1|M|40.0|2022-11-18T15:21:51.594536Z|2023-07-10T18:02:26.569536Z
IU|COLA|10|BH1|M|40.0|2023-07-10T18:26:42.594538Z|2023-07-10T18:38:16.569538Z
IU|COLA|10|BH1|M|40.0|2023-07-10T18:38:19.594539Z|2023-07-10T19:20:37.569538Z
IU|COLA|10|BH1|M|40.0|2023-07-10T19:21:12.594539Z|2023-07-11T17:10:32.569538Z
IU|COLA|10|BH1|M|40.0|2023-07-11T17:11:24.594548Z|2023-12-10T18:22:49.244538Z
IU|COLA|10|BH1|M|40.0|2023-12-10T18:49:04.819536Z|2023-12-20T18:39:36.844538Z
IU|COLA|10|BH1|M|40.0|2023-12-20T18:48:10.594536Z|2024-07-01T00:00:00.000000Z
IU|COLA|10|BH2|M|40.0|2020-01-01T00:00:00.000000Z|2020-01-09T13:54:58.369538Z
IU|COLA|10|BH2|M|40.0|2020-01-09T13:55:00.594538Z|2020-02-22T05:10:21.169538Z
IU|COLA|10|BH2|M|40.0|2020-02-22T05:10:30.219538Z|2020-03-10T23:13:40.469538Z
